akk;en
 iri^ki- kug-kug-ga-am3 e-ne ba-am3-me-en-ze2-en kur dilmun^ki- kug-ga-am3  ki-en-gi kug-ga e-ne ba-am3-me-en-ze2-en kur dilmun^ki- kug-ga-am3  kur dilmun^ki- kug-ga-am3 kur dilmun sikil-am3  kur dilmun^ki- sikil-am3 kur dilmun^ki- dadag-ga-am3 ; Pure are the cities -- and you are the ones to whom they are allotted. Pure is Dilmun land. Pure is Sumer -- and you are the ones to whom it is allotted. Pure is Dilmun land. Pure is Dilmun land. Virginal is Dilmun land. Virginal is Dilmun land. Pristine is Dilmun land.
 dili-ni-ne dilmun^ki--a u3-bi2-in-nu2  ki ^d-en-ki dam-a-ni-da ba-an-da-nu2-a-ba  ki-bi sikil-am3 ki-bi dadag-ga-am3  dili-ni-ne dilmun^ki--a u3-bi2-in-nu2  ki ^d-en-ki ^d-nin-sikil-la ba-an-da-nu2-a-ba  ki-bi sikil-am3 ki-bi dadag-ga-am3 ; He laid her down all alone in Dilmun, and the place where Enki had lain down with his spouse, that place was still virginal, that place was still pristine. He laid her down all alone in Dilmun, and the place where Enki had lain down with Ninsikila, that place was virginal, that place was pristine.
 dilmun^ki--a uga^mušen- gu3-gu3 nu-mu-ni-be2  dar^mušen--e gu3 dar^mušen--re nu-mu-ni-ib-be2  ur-gu-la saĝ ĝiš nu-ub-ra-ra  ur-bar-ra-ke4 sila4 nu-ub-kar-re  ur-gir15 maš2 gam-gam nu-ub-zu  šaḫ2 še gu7-gu7-e nu-ub-zu ; In Dilmun the raven was not yet cawing, the partridge not cackling. The lion did not slay, the wolf was not carrying off lambs, the dog had not been taught to make kids curl up, the pig had not learned that grain was to be eaten.
 nu-mu-un-su2 munu4 ur3-ra barag2-ga-ba  mušen-e an-na munu4-bi na-an-gu7-e  tum12^mušen--e saĝ nu-mu-un-da-RU-e ; When a widow has spread malt on the roof, the birds did not yet eat that malt up there. The pigeon then did not tuck the head under its wing.
 igi-gig-e igi-gig-me-en nu-mu-ni-be2  saĝ-gig-e saĝ-gig-me-en nu-mu-ni-be2  um-ma-bi um-ma-me-en nu-mu-ni-be2  ab-ba-bi ab-ba-me-en nu-mu-ni-be2  ki-sikil a nu-tu5-a-ni iri-a nu-mu-ni-ib-sig10-ge  lu2 id2-da bal-e ĝi6-de3 nu-mu-ni-be2  niĝir-e zag-ga-na nu-um-niĝin2-niĝin2 ;" No eye-diseases said there: ""I am the eye disease."" No headache said there: ""I am the headache."" No old woman belonging to it said there: ""I am an old woman."" No old man belonging to it said there: ""I am an old man."" No maiden in her unwashed state …… in the city. No man dredging a river said there: ""It is getting dark."" No herald made the rounds in his border district."
 nar-e e-lu-lam nu-mu-ni-be2  zag iri-ka i-lu nu-mu-ni-be2 ; No singer sang an elulam there. No wailings were wailed in the city's outskirts there.
 ^d-nin-sikil-la a-a-ni ^d-en-ki-ra gu3 mu-na-de2-e  iri mu-e-šum2 iri mu-e-šum2 nam-ĝu10 šum2-ma-zu  dilmun iri mu-e-šum2 iri <mu-e-šum2 nam-ĝu10 šum2-ma-zu>  [X X] mu-e-šum2 iri <mu-e-šum2 nam-ĝu10 šum2-ma-zu> ;" Ninsikila said to her father Enki: ""You have given a city. You have given a city. What does your giving avail me? You have given a city, Dilmun. You have given a city. What does your giving avail me? You have given ……. You have given a city. What avails me your giving?"""
 [iri kar] id2-da nu-un-tuku-a  [X X] mu-e-šum2 iri <mu-e-šum2 nam-ĝu10 šum2-ma-zu>  […] X […] X  [iri a-šag4] a-gar3 [ab-sin2 nu-un-tuku]-a ;" ""You have given ……, a city that has no river quay. You have given a city. What does your giving avail me?""1 line fragmentary ""A city that has no fields, glebe or furrow"" 3 lines missing"
 [^d-utu an-na gub-be2-e]  [gir16 DU-a gaba EZEN^ki--na-ta]  [e2-suḫur si ^d-nanna-a-ta] ;"  ""When Utu steps up into heaven, fresh waters shall run out of the ground for you from the standing vessels on Ezen's shore, from Nanna's radiant high temple, from the mouth of the waters running underground."""
" ĝiri3-ma-an gal-la-za a ḫe2-em-ta-ed3-de3  iri-zu a ḫe2-ĝal2-la ḫu-mu-ra-na8-na8  dilmun^ki- a ḫe2-&lt;ĝal2-la ḫu-mu-ra-na8-na8>  pu2 a sis-a-zu pu2 a dug3-ga ḫe2-em  iri-zu e2-gun2 kar-ra kalam-ma-ka ḫe2-a  dilmun^ki- e2-&lt;gun2 kar-ra kalam-ma-ka ḫe2-a> ";" ""May the waters rise up from it into your great basins. May your city drink water aplenty from them. May Dilmun drink water aplenty from them. May your pools of salt water become pools of fresh water. May your city become an emporium on the quay for the Land. May Dilmun become an emporium on the quay for the Land."""
