akk;en
1;1
2-kam-ma;2nd
2;2
3;3
4;4
50;50
5;5
6;6
7;7
8;8
9;9
A.NUMUN2;esparto grass
A.ZI/ZI;type of grass
A;A
AB;AB
AN;AN
AĜ2;AĜ2
AŠ;AŠ
BA;BA
BI;BI
DA;DA
DAG.KISIM5×AB2;cowshed
DU;DU
E;E
EN;EN
EZEN;EZEN
EZEN×KUG;EZEN×KUG
GA;GA
GI;GI
KA;KA
KAM;KAM
KA×X;KA×X
KI;KI
LI;LI
MA;MA
MUŠ3;MUŠ3
NA;NA
NE;NE
NI;NI
NU;spin
RI;RI
RU;RU
SAR;SAR
SIG7-EN;birth goddess?
SIG7-ḪI;birth goddess?
SIKI.NUMUN2;type of garment
TAG;TAG
TAR;TAR
TE;TE
TI;TI
TU;TU
U;type of stone
UR5.ŠA;UR.ŠA
X;X
X;type of plant
Xbr;Xbr
ZI/ZI.A;type of grass
a-a;father
a-ab-ba;sea
a-ba;who
a-da-ab;type of drum and composition
a-da-min3;contest
a-eštub;water
a-gar3;meadow
a-la2;type of vessel
a-na;what
a-nir;lament
a-nun-na;Anuna
a-ra-zu;supplication
a-ru-ru;Aruru
a-sur-ra;subterranean water
a-tu-tu;type of plant
a-u3;high water
a-za-ad;head
a-ĝi6;flooding
a-šag4;field
a12-ra2-bu;type of bird
a2-tuku;powerful
a2-zi-mu2-a;Azimua
a2-še;now
a2-šita4;equipment
a2;arm
a;oh
a;water
ab-ba;Sea-land
ab-ba;father
ab-u2;Ab-u
ab2;cow
ab;sea
abgal;sage
abrig;type of priest
absin3;furrow
abzu;Abzu
abzu;underground water
ad-da;father
ad6;corpse
aga;crown
agargara;fish spawn
agarin4;matrix
agrun;cella
ak;do
al;desire
al;hoe
alim;bison
am-ḫa-ru;type of plant
am;wild bull
ama-inana;goddess
ama;mother
amar;calf
amaš;sheepfold
ambar;marsh
an-dul3;shade
an-edin;high plain
an-ta-sur-ra;type of stone
an-ta;companion
an-ur2;horizon
an-zag;border of heaven
an-šag4;interior of heaven
an;An
an;heaven
apin;plough
ar3-ar3;grind
aĝ2;measure
aš-tal2-tal2;type of plant
ba-an;capacity measure
ba;allot
bad3;wall
bad;open
bal;spindle
bal;turn over
bar-rim4;arid land
bar;outside
bar;set aside
