akk;en
-GA-GA;-GA-GA
-ra;
1-kam-ma;1st
1/2;1/2
1/3;1/3
10-kam-ma;10th
1000;1000
100;100
108000;108000
1080;1080
108;108
10;10
11-kam-ma;11th
110;110
1110;1110
116;116
117;117
11;11
12-kam-ma;12th
1200;1200
120;120
123;123
124;124
125;125
126;126
12;12
131;131
1320;1320
132;132
134;134
136;136
137;137
139;139
13;13
140;140
14400;14400
144;144
14;14
15-kam-ma;15th
1500;1500
1525;1525
1560;1560
157;157
159;159
15;15
160;160
161;161
1620;1620
16;16
171;171
177;177
17;17
1800;1800
180;180
181;181
184;184
18600;18600
187;187
18;18
195;195
197;197
1;1
2-kam-ma;2nd
2/3;2/3
201;201
203;203
20;20
21000;21000
21;21
2220;2220
225;225
226;226
22;22
2310;2310
23;23
240;240
241200;241200
24510;24510
24;24
25200;25200
25;25
2610;2610
26;26
2760;2760
280;280
28800;28800
28;28
290;290
2;2
3-kam-ma;3rd
300;300
305;305
30;30
3195;3195
324;324
325;325
32;32
33;33
3443;3443
34;34
356;356
3588;3588
36000;36000
3600;3600
360;360
36;36
3792;3792
396;396
3;3
4-kam-ma;4th
400;400
40;40
410;410
420;420
43200;43200
43;43
45;45
46;46
47;47
485;485
48;48
491;491
4;4
5-kam-ma;5th
50;50
54;54
55;55
56;56
578;578
582;582
586;586
58;58
5;5
6-kam-ma;6th
600;600
60;60
621;621
625;625
635;635
64800;64800
660;660
670;670
690;690
6;6
7-kam-ma;7th
70;70
72000;72000
7200;7200
720;720
72;72
745;745
76;76
7;7
8-kam-ma;8th
80;80
81;81
840;840
87;87
8;8
9-kam-ma;9th
900;900
90;90
960;960
990;990
99;99
9;9
;
A.ZI/ZI;type of grass
A.ĜAR.KA;part of temple
A;A
AB-ru-um;meaning unknown
AB.ĜAR;wave
AB;AB
ABA;bathing chamber
AD;AD
AG;AG
AGA;AGA
AGA;type of axe
AL;AL
ALAM;ALAM
AM;AM
AMA;AMA
AMAR.TI.AN;meaning unknown
AMAR;AMAR
AMAŠ;AMAŠ
AN.BA;AN.BA
AN.BU;AN.BU
AN.PA;meaning unknown
AN;AN
AN;heaven
AĜRIG;AĜRIG
AŠ+MAŠ;AŠ+MAŠ
AŠ;AŠ
AŠ;make single
AḪ;AḪ
BA;BA
BAD;BAD
BAL;BAL
BAR;BAR
BI;BI
BIR-ḪAR-tur-ra;BIR-ḪAR-tura
BIR;BIR
BU-UD-bar;impure person
BU;BU
BUL;BUL
BULUG;BULUG
BUR;BUR
DA.A.SAR;meaning unknown
DA;DA
DAG;DAG
DAM;DAM
DAR;DAR
DAĜAL;DAĜAL
DI;DI
DIB;DIB
DIM-DIM;DIM-DIM
DIM;DIM
DIN;DIN
DIR;DIR
DIŠ;DIŠ
DU;DU
DUB.BA.AN;meaning unknown
DUB.GAG;spike
DUB;DUB
DUB;pole pin
DUG.LAGAB;meaning unknown
DUG;DUG
DUL;DUL
DUN-DUN;DUN-DUN
DUN;DUN
DUR;DUR
E.KU;type of food
E;E
EDIN.BAR;meaning unknown
EDIN;EDIN
EN;EN
EN;lord
EZEN;EZEN
EŠ;EŠ
GA-GA;GA-GA
GA;GA
GABA;GABA
GADA.TAG.DA;stake
GADA;GADA
GAG;GAG
GAL;GAL
GAM;GAM
GAN.SUM;meaning unknown
GAN;GAN
GAZ;GAZ
GI;GI
GIG;GIG
GIL-ak;arrow
GIL;GIL
GIM;GIM
GIR;GIR
GU;GU
GUD;GUD
GUG;GUG
GUL;GUL
GUM;GUM
GUR;GUR
I;I
IB;IB
IG;IG
IGI+X;IGI+X
IGI.U;meaning unknown
IGI.X;part of boat
IGI;IGI
IL;IL
IL;type of fish
IM.DI;meaning unknown
IM.UD;cloud
IM.ĜAR;meaning unknown
IM.ŠEŠ;rainbow
IM;IM
IN;IN
IN;INe
IR.RU.UŠ;meaning unknown
IR;IR
ITIMA;ITIMA
IZ;IZ
IŠ;IŠ
KA;
KA-kug-ga-ni;KA-kugani
KA.AN.NI.SI;writing of 
KA.BAR;KA.BAR
KA.DU;meaning unknown
KA.DUB.ŠEŠ;designation of bird
KA.GAG.KA;meaning unknown
KA.NI;meaning unknown
KA.TAR;meaning unknown
KA;KA
KAA;KAA
KAB;KAB
KAD;KAD
KAL-KAL;KAL-KAL
KAL;KAL
KALI;KALI
KALUM;KALUM
KAM;KAM
KAMAŠ;KAMAŠ
KANE;blaze
KAR;KAR
KASKAL;KASKAL
KAX;KAX
KAŠU;KAŠU
KI.E.NE.DI;writing of ešemen and ki-e-ne-di
KI.EN.GUB;lordly station
KI.KAL;chariot platform
KI.KAL;writing for different types of grass
KI.KAL;writing for different types of land
KI.LUGAL.GUB;royal station
KI;KI
KIB;KIB
KID;KID
KID;meaning unknown
KU-DU;KU-DU
KU-e;KU-e
KU.ER;
KU;KU
KU;plough
KUG;KUG
KUL;KUL
KUM;KUM
KUN;KUN
KUR;KUR
KUŠ;KUŠ
LA;LA
LAG;LAG
LAGAB;LAGAB
LAGABX;LAGABX
LAGAR;LAGAR
LAM;LAM
LI;LI
LU;LU
LU;part of boat
LUGAL.BI.GUB;royal station
LUL-LUL;shine
LUL.KU;meaning unknown
LUL;LUL
LUM;LUM
MA-tur;MA-tur
MA;MA
MAN;MAN
MAR;MAR
MAŠ+X;MAŠ+X
MAŠ;MAŠ
ME.EN.NE.EN;meaning unknown
ME;ME
MES;MES
MI-NE;MI-NE
MI;MI
MIN;MIN
MIR;MIR
MU.MES-ga;meaning unknown
MU;MU
MUD;MUD
MUG;MUG
MUNUS+NI;MUNUS+NI
MUNUS+X;MUNUS+X
MUNUS-MUNUS;type of bird
MUNUS.LAGAR.BAD;type of priestess
MUNUS.LAGAR.ME;type of priestess
MUNUS.ŠAḪ;sow
MUNUS;MUNUS
MUŠ;MUŠ
NA;NA
NAB;NAB
NAGAR;NAGAR
NAM;NAM
NAĜA;NAĜA
NE-NE-ĝar;NE-NE-ĝar
NE-ru;NE-ru
NE-ḫa-an;type of tree
NE.GI.BAR;meaning unknown
NE.KA;meaning unknown
NE;NE
NE;refined
NI.SUM;meaning unknown
NI.ŠIM.X;NI.ŠIM.X
NI;NI
NIM;NIM
NIR;NIR
NIĜIN;NIĜIN
NU;NU
NU;spin
NUN;NUN
NUNUZ;NUNUZ
PA.A.PA;meaning unknown
PA.A;meaning unknown
PA.A;type of weapon
PA.GAG;arrowhead
PA.NIM;meaning unknown
PA.ḪAR;type of weapon
PA;PA
PAD;PAD
PI;PI
PIRIĜ;PIRIĜ
PU;PU
RA;RA
RI-RI;RI-RI
RI;RI
RU;RU
RU;architectural feature
SA;SA
SAR;SAR
SAR;nauseated
SAĜ;SAĜ
SI.LU.IGI;SI.LU.IGI
SI;SI
